0.33244,0.58231
0.40685,0.68865
0.44196,0.72955
0.47887,0.78885
0.50506,0.8318
0.53661,0.86759
0.55149,0.86145
0.55268,0.83998
0.51815,0.77352
0.48363,0.71115
0.47351,0.68558
0.47946,0.67638
0.51815,0.70603
0.54375,0.73466
0.58661,0.77249
0.62708,0.80521
0.64792,0.79397
0.64673,0.76022
0.62887,0.73466
0.5878,0.69683
0.53958,0.65082
0.52649,0.63753
0.54673,0.64468
0.5872,0.68865
0.64196,0.72444
0.68423,0.74796
0.69851,0.73569
0.7003,0.7091
0.65149,0.65798
0.60208,0.62423
0.55744,0.58129
0.5497,0.55982
0.57054,0.55573
0.61815,0.57822
0.6872,0.60174
0.7122,0.59458
0.71756,0.56391
0.68363,0.52914
0.60923,0.4954
0.5372,0.45143
0.51101,0.40644
0.52292,0.36247
0.56161,0.34714
0.60625,0.32975
0.61577,0.28272
0.60982,0.27249
0.58065,0.27658
0.54792,0.26329
0.47768,0.28681
0.40685,0.30521
0.31994,0.45552
